"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61","Policy is not accepted due to missing context ""Confidential Information Sharing""","","Mon Jun 29 08:25:38 UTC 2026","passed","Mon Jun 29 08:25:38 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","15632","discoveryShouldReturn502_whenProviderEndpointNotReachable()","","Mon Jun 29 08:22:23 UTC 2026","passed","Mon Jun 29 08:22:39 UTC 2026","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","discoveryShouldReturn502_whenProviderEndpointNotReachable"
"","5144","transferData_failing_withProxyOriginalResponse()","","Mon Jun 29 08:24:28 UTC 2026","passed","Mon Jun 29 08:24:34 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_failing_withProxyOriginalResponse"
"","76","Policy is accepted ""Empty Policy""","","Mon Jun 29 08:25:36 UTC 2026","passed","Mon Jun 29 08:25:36 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","477","discoveryShouldReturnDspParams_BpnAsIdentifier()","","Mon Jun 29 08:21:51 UTC 2026","passed","Mon Jun 29 08:21:51 UTC 2026","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorDiscoveryTest","discoveryShouldReturnDspParams_BpnAsIdentifier"
"","7765","transferData_unsuccessful_notReturnOriginalSourceResponseCode_withTerminate()","","Mon Jun 29 08:22:57 UTC 2026","passed","Mon Jun 29 08:23:05 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_unsuccessful_notReturnOriginalSourceResponseCode_withTerminate"
"","314","Consumer gets catalog from the provider. No constraints.","","Mon Jun 29 08:21:51 UTC 2026","passed","Mon Jun 29 08:21:51 UTC 2026","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_fulfillsPolicy_shouldReturnOffer"
"","12094","azureBlobPush_withoutDestFolder()","","Mon Jun 29 08:22:21 UTC 2026","passed","Mon Jun 29 08:22:33 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.AzureToAzureEndToEndTest","azureBlobPush_withoutDestFolder"
"","1877","trigger_shouldReturnSuccess_whenAllValidationsSucceed()","","Mon Jun 29 08:21:44 UTC 2026","passed","Mon Jun 29 08:21:46 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","trigger_shouldReturnSuccess_whenAllValidationsSucceed"
"","61","Policy is not accepted due to missing context ""Affiliates Region (IS_ANY_OF, one element)""","","Mon Jun 29 08:25:37 UTC 2026","passed","Mon Jun 29 08:25:37 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
